dpl,nperi,ci,nce,category
251,1,200,2,4
251,1,250,2,4
251,1,270,2,4
251,1,300,2,4
27,2,10,4,1
27,2,15,3,1
27,2,20,2,2
27,2,30,2,4
27,2,35,4,3
27,2,40,3,3
27,2,45,2,2
27,2,50,2,3
27,2,55,2,2
27,2,60,2,3
27,2,70,4,4
27,2,90,2,2
27,2,100,3,2
27,2,125,2,3
27,2,150,3,4
27,2,200,2,4
27,2,250,2,4
27,2,270,3,4
27,2,300,2,4
64,2,10,4,1
64,2,15,2,1
64,2,20,3,2
64,2,30,2,4
64,2,35,4,3
64,2,40,3,3
64,2,45,2,2
64,2,50,3,3
64,2,55,3,2
64,2,60,2,3
64,2,70,2,4
64,2,90,2,2
64,2,100,2,2
64,2,125,2,3
64,2,150,2,4
64,2,200,2,4
64,2,250,2,4
64,2,270,3,4
64,2,300,2,4
128,2,10,6,1
128,2,15,2,1
128,2,20,2,2
128,2,30,2,4
128,2,35,6,3
128,2,40,2,3
128,2,45,3,2
128,2,50,2,3
128,2,55,2,2
128,2,60,3,3
128,2,70,4,4
128,2,90,3,2
128,2,100,2,2
128,2,125,3,3
128,2,150,2,4
128,2,200,3,4
128,2,250,2,4
128,2,270,3,4
128,2,300,2,4
251,2,10,4,1
251,2,15,3,1
251,2,20,2,2
251,2,25,5,3
251,2,30,2,4
251,2,35,5,3
251,2,40,2,3
251,2,45,2,2
251,2,50,3,3
251,2,55,2,2
251,2,60,2,3
251,2,70,4,4
251,2,90,2,2
251,2,100,2,2
251,2,125,2,3
251,2,150,2,4
251,2,200,2,4
251,2,250,2,4
251,2,270,2,4
251,2,300,2,4
27,3,10,7,1
27,3,15,4,1
27,3,20,9,2
27,3,25,4,3
27,3,30,4,4
27,3,35,6,3
27,3,40,6,3
27,3,45,6,2
27,3,50,6,3
27,3,55,4,2
27,3,60,6,3
27,3,70,6,4
27,3,90,4,2
27,3,100,3,2
27,3,125,3,3
27,3,150,3,4
27,3,200,3,4
27,3,250,3,4
27,3,270,3,4
27,3,300,3,4
64,3,10,6,1
64,3,15,6,1
64,3,20,4,2
64,3,25,4,3
64,3,30,6,4
64,3,35,4,3
64,3,40,4,3
64,3,45,4,2
64,3,50,2,3
64,3,55,3,2
64,3,60,4,3
64,3,70,4,4
64,3,90,3,2
64,3,100,3,2
64,3,125,3,3
64,3,150,3,4
64,3,200,3,4
64,3,250,3,4
64,3,270,3,4
64,3,300,3,4
128,3,10,6,1
128,3,15,4,1
128,3,20,4,2
128,3,30,4,4
128,3,35,4,3
128,3,40,4,3
128,3,45,2,2
128,3,50,2,3
128,3,55,4,2
128,3,60,4,3
128,3,70,4,4
128,3,90,4,2
128,3,100,2,2
128,3,125,4,3
128,3,150,3,4
128,3,200,4,4
128,3,250,2,4
128,3,270,2,4
128,3,300,3,4
251,3,10,6,1
251,3,15,6,1
251,3,20,9,2
251,3,30,4,4
251,3,35,4,3
251,3,40,4,3
251,3,45,4,2
251,3,50,3,3
251,3,55,4,2
251,3,60,4,3
251,3,70,5,4
251,3,90,4,2
251,3,100,2,2
251,3,125,3,3
251,3,150,3,4
251,3,200,3,4
27,4,10,6,1
27,4,15,6,1
27,4,20,12,2
27,4,25,5,3
27,4,30,3,4
27,4,35,4,3
27,4,40,6,3
27,4,45,4,2
27,4,50,4,3
27,4,55,4,2
27,4,60,6,3
27,4,70,4,4
27,4,90,6,2
27,4,100,4,2
27,4,125,4,3
27,4,150,3,4
27,4,200,3,4
27,4,250,2,4
27,4,270,3,4
27,4,300,3,4
64,4,10,8,1
64,4,15,5,1
64,4,20,12,2
64,4,25,11,3
64,4,30,4,4
64,4,35,6,3
64,4,40,5,3
64,4,45,6,2
64,4,50,4,3
64,4,55,4,2
64,4,60,6,3
64,4,70,4,4
64,4,90,3,2
64,4,100,2,2
64,4,125,3,3
64,4,150,3,4
64,4,200,4,4
64,4,250,2,4
64,4,270,3,4
64,4,300,3,4
128,4,10,6,1
128,4,15,6,1
128,4,20,12,2
128,4,30,6,4
128,4,35,4,3
128,4,40,6,3
128,4,45,4,2
128,4,50,6,3
128,4,55,4,2
128,4,60,6,3
128,4,70,6,4
128,4,90,4,2
128,4,100,6,2
128,4,125,3,3
128,4,150,3,4
128,4,200,4,4
128,4,250,3,4
128,4,270,2,4
128,4,300,2,4
251,4,10,6,1
251,4,15,8,1
251,4,20,8,2
251,4,25,6,3
251,4,30,4,4
251,4,35,6,3
251,4,40,6,3
251,4,45,4,2
251,4,50,4,3
251,4,55,2,2
251,4,60,5,3
251,4,70,4,4
251,4,90,4,2
251,4,100,3,2
251,4,125,4,3
251,4,150,3,4
251,4,200,3,4
251,4,250,3,4
251,4,270,3,4
251,4,300,3,4
27,6,10,12,2
27,6,15,8,2
27,6,20,9,4
27,6,25,11,3
27,6,30,6,4
27,6,35,10,4
27,6,40,5,4
27,6,45,4,2
27,6,50,4,4
27,6,55,8,4
27,6,60,3,4
27,6,70,5,4
27,6,90,7,4
27,6,100,4,4
27,6,125,3,4
27,6,150,4,4
27,6,200,4,4
27,6,250,3,4
27,6,270,4,4
27,6,300,3,4
64,6,10,12,2
64,6,15,8,2
64,6,20,6,4
64,6,30,6,4
64,6,35,6,4
64,6,40,12,4
64,6,45,4,2
64,6,50,6,4
64,6,55,6,4
64,6,60,3,4
64,6,70,6,4
64,6,90,4,4
64,6,100,7,4
64,6,125,6,4
64,6,150,4,4
64,6,200,5,4
64,6,250,5,4
64,6,270,2,4
64,6,300,3,4
128,6,10,11,2
128,6,15,9,2
128,6,20,9,4
128,6,25,6,3
128,6,30,5,4
128,6,35,6,4
128,6,40,8,4
128,6,45,10,2
128,6,50,9,4
128,6,55,6,4
128,6,60,3,4
128,6,70,4,4
128,6,90,4,4
128,6,100,6,4
128,6,125,4,4
128,6,150,4,4
128,6,200,4,4
128,6,250,3,4
128,6,270,4,4
128,6,300,5,4
