dpl,nperi,ci,pow,latency,nce,noise,category
27,6,15,409.4376571,205,14,1,2
27,6,20,315.6598263,292,15,1,4
27,6,25,296.298855,292,12,1,3
27,6,30,316.1584453,453,15,1,4
27,6,35,241.5532094,274,8,1,4
27,6,40,249.9068902,791,20,1,4
27,6,45,260.1149735,194,5,1,2
27,6,50,267.1555039,302,6,1,4
27,6,55,186.8792479,413,8,1,4
27,6,60,170.6497111,406,7,1,4
27,6,70,213.5414198,658,10,1,4
27,6,90,142.4779799,711,8,1,4
27,6,100,204.763722,1143,12,1,4
27,6,125,133.2671236,693,6,1,4
27,6,150,162.0881449,1114,8,1,4
27,6,200,127.6338361,1167,6,1,4
27,6,250,115.7169143,1436,6,1,4
27,6,270,112.8714535,1134,5,1,4
27,6,300,167.8193588,1469,5,1,4
64,6,10,499.6937429,228,23,1,2
64,6,15,422.3827019,163,11,1,2
64,6,20,340.436364,180,9,1,4
64,6,25,300.1619453,276,11,1,3
64,6,30,267.173843,350,12,1,4
64,6,35,196.2373759,275,8,1,4
64,6,40,232.0393357,287,8,1,4
64,6,45,225.6680672,224,5,1,2
64,6,50,175.4081662,717,15,1,4
64,6,55,163.0722421,769,14,1,4
64,6,60,153.4569246,361,6,1,4
64,6,70,147.0403518,633,9,1,4
64,6,90,147.1927005,1044,12,1,4
64,6,100,203.4137094,875,9,1,4
64,6,125,112.4983441,435,4,1,4
64,6,150,95.35625513,1103,8,1,4
64,6,200,87.77200199,915,5,1,4
64,6,250,106.5011717,886,4,1,4
64,6,270,90.39301762,982,4,1,4
64,6,300,104.7211172,1164,4,1,4
128,6,10,531.028983,197,20,1,2
128,6,15,414.1407685,182,12,1,2
128,6,20,336.4979502,228,12,1,4
128,6,25,261.913404,374,15,1,3
128,6,30,196.4563308,246,8,1,4
128,6,35,190.1975229,523,15,1,4
128,6,40,183.0963483,238,6,1,4
128,6,45,180.523109,157,4,1,2
128,6,50,170.746289,684,14,1,4
128,6,55,176.503605,465,9,1,4
128,6,60,209.9796369,573,10,1,4
128,6,70,152.9971815,555,8,1,4
128,6,90,172.5945119,533,6,1,4
128,6,100,114.1803803,844,9,1,4
128,6,125,93.40955671,639,6,1,4
128,6,150,92.07260674,761,6,1,4
128,6,200,51.42326738,654,4,1,4
128,6,250,108.3099653,1279,6,1,4
128,6,270,129.9990527,1075,4,1,4
128,6,300,76.44394959,824,3,1,4
251,6,70,114.9645378,797,12,1,4
251,6,90,123.7563756,669,8,1,4
251,6,100,112.5145499,543,6,1,4
251,6,125,90.8105034,615,5,1,4
251,6,150,92.45889484,592,4,1,4
251,6,200,83.00305226,983,5,1,4
251,6,250,116.5109279,1158,5,1,4
251,6,270,67.37007731,928,4,1,4
251,6,300,109.9713514,769,3,1,4
27,1,10,416.6968508,34,3,0,1
27,1,15,523.6057545,36,2,0,1
27,1,20,393.9429572,39,2,0,2
27,1,30,317.9678504,61,2,0,4
27,1,35,320.0377861,99,3,0,3
27,1,40,241.3665768,91,3,0,3
27,1,45,314.0573175,138,3,0,2
